USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 185328  3600 ?        Ss   1月05   0:10 /sbin/init splash
jylee      1731  0.0  0.0 210752    32 ?        S    1月05   0:00 (sd-pam)
jylee      1736  0.0  0.0 212572  1172 ?        Sl   1月05   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
jylee      1739  0.0  0.1  53708  2148 ?        Ss   1月05   0:00 /sbin/upstart --user
jylee      1824  0.0  0.0  39996   928 ?        S    1月05   0:00 upstart-udev-bridge --daemon --user
jylee      1825  0.0  0.1  44008  2136 ?        Ss   1月05   0:15 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-vgx5yHLdw2
jylee      1837  0.0  0.1  93416  1640 ?        Ss   1月05   0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
jylee      1858  0.0  0.0  40004   596 ?        S    1月05   0:03 upstart-dbus-bridge --daemon --session --user --bus-name session
jylee      1860  0.0  0.0  39904   124 ?        S    1月05   0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
jylee      1864  0.0  0.0  48528   908 ?        S    1月05   0:00 upstart-file-bridge --daemon --user
jylee      1892  0.0  0.1 733484  2748 ?        Sl   1月05   0:03 /usr/bin/fcitx
jylee      1895  0.0  0.0 173752   148 ?        Ss   1月05   0:12 gpg-agent --homedir /home/jylee/.gnupg --use-standard-socket --daemon
jylee      1900  0.0  0.4 533820  7500 ?        Ssl  1月05   0:05 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
jylee      1912  0.0  0.0  43036  1428 ?        Ss   1月05   0:01 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
jylee      1918  0.0  0.5 607388  7824 ?        Ssl  1月05   0:05 /usr/lib/x86_64-linux-gnu/hud/hud-service
jylee      1920  0.0  0.6 872432  9652 ?        Ssl  1月05   0:08 /usr/lib/unity-settings-daemon/unity-settings-daemon
jylee      1926  0.0  0.0  27636   800 ?        SN   1月05   0:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-TC6zaZBLHJ,guid=5f1b02ad002545400f4ba6bc5a4b07ba 1912
jylee      1931  0.0  0.1 281752  1516 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfsd
jylee      1936  0.0  0.1 419960  2020 ?        Sl   1月05   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jylee      1945  0.0  0.1 353664  2172 ?        Ssl  1月05   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
jylee      1946  0.0  0.1 569024  2604 ?        Ssl  1月05   0:02 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
jylee      1951  0.0  1.2 673636 19392 ?        Ssl  1月05   0:19 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
jylee      1954  0.0  0.0  42900  1212 ?        S    1月05   0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
jylee      1962  0.0  0.1 206968  1840 ?        Sl   1月05   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
jylee      1990  0.0  0.1 377404  2860 ?        Ssl  1月05   0:01 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
jylee      1991  0.0  0.1 430232  2084 ?        Ssl  1月05   0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
jylee      1996  0.0  0.1 368100  2328 ?        Ssl  1月05   0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
